Company Name,Job Opening Title,Description,Skills Needed,Level,Hiring Manager,Company Review,Estimated Salary (INR),Job Location,Employment Type,Experience Required,Education Required,Application Deadline,Job Posting Date,Company Size,Remote Option,Contact Information
Reliance Industries,Artificial Intelligence Engineer,"As an Artificial Intelligence Engineer, you will be responsible for developing and deploying AI models and solutions that drive innovation and automation within the organization. Your role involves working with various AI techniques, such as natural language processing (NLP), computer vision, and neural networks, to create intelligent systems that solve complex problems.

    You will collaborate with data scientists, software engineers, and other stakeholders to design and implement AI models that meet business needs. This includes collecting and preprocessing data, selecting appropriate AI algorithms, and fine-tuning models to achieve high performance. Your work will involve applying advanced techniques such as deep learning, reinforcement learning, and generative models to create AI-driven applications.

    Additionally, you will be responsible for integrating AI models into production environments, ensuring that they operate efficiently and effectively. This includes monitoring model performance, addressing issues related to model drift, and continuously improving models based on feedback and new data. You will also work on developing AI-driven tools and applications that enhance business processes, improve customer experiences, and drive innovation.

    Your role will require strong programming skills in languages such as Python or Java, as well as experience with AI frameworks and libraries, such as TensorFlow, Keras, or OpenAI. A deep understanding of AI concepts, including machine learning, deep learning, and neural networks, will be essential for success in this role.

    By leveraging your expertise in artificial intelligence, you will play a key role in driving the organization’s AI strategy and ensuring that AI solutions deliver measurable business value. Your work will contribute to the organization’s ability to stay competitive in a rapidly evolving technological landscape.","Computer Vision, NLP, AI, Python",Entry-Level,Amitabh Bachchan,3.8232639574493614,1065000,Pune,Part-Time,Entry-Level,MSc in Data Science,2024-07-20,2024-04-12,Small,No,naksh.yadav@relianceindustries.com
Bharti Airtel,Sales Engineer,"As a Sales Engineer, you will be responsible for combining technical knowledge with sales skills to provide support and expertise to customers and sales teams. Your role involves understanding customer requirements, demonstrating product capabilities, and providing technical solutions that meet customer needs.

    You will work closely with sales teams to identify and qualify sales opportunities, conduct product demonstrations, and deliver technical presentations to customers. Your responsibilities will include developing and delivering product proposals, responding to technical inquiries, and working with customers to design and implement solutions that meet their specific requirements.

    Additionally, you will be involved in providing post-sales support, including troubleshooting issues, conducting training sessions, and ensuring customer satisfaction with the product. You will also work on staying up-to-date with industry trends, product developments, and competitor offerings to effectively position your product in the market.

    Your role will require strong technical knowledge, excellent communication skills, and the ability to build and maintain relationships with customers. Familiarity with CRM tools, such as Salesforce, and experience in the industry or product domain will be valuable in effectively supporting the sales process.

    By providing technical expertise and support, you will play a key role in driving sales and ensuring that customers receive the best possible solutions to meet their needs.","Solution Selling, Technical Sales, Product Demonstrations, Negotiation, Customer Engagement",Entry-Level,Anjali Verma,3.971568130370005,869000,Ahmedabad,Part-Time,Entry-Level,MBA,2024-01-11,2024-08-04,Large,Yes,yadavi.sastry@bhartiairtel.com
Wipro,Product Manager,"As a Product Manager, you will be responsible for overseeing the development, launch, and lifecycle of products within the organization. Your role involves coordinating with various teams, including engineering, marketing, and sales, to ensure that products are delivered successfully and meet market demands.

    You will lead the product development process from concept to launch, which includes conducting market research to identify customer needs and industry trends, defining product requirements, and creating detailed product roadmaps. Your responsibilities will involve working closely with stakeholders to prioritize features, set milestones, and manage the product backlog to ensure that development efforts align with business goals.

    Additionally, you will be responsible for monitoring product performance, gathering user feedback, and analyzing market data to make informed decisions about product enhancements and improvements. You will collaborate with marketing teams to develop go-to-market strategies, create product messaging, and support promotional activities to drive product adoption and growth.

    Your role will also include managing the product lifecycle, which involves overseeing product releases, coordinating with support teams to address customer issues, and making strategic decisions about product updates and discontinuation. Strong project management skills, strategic thinking, and the ability to communicate effectively with both technical and non-technical stakeholders will be essential for success in this role.

    You will be expected to stay up-to-date with industry trends and competitive landscape, leveraging your knowledge to drive innovation and ensure that products remain relevant and competitive in the market. Your role as a Product Manager will be instrumental in delivering high-impact products that contribute to the organization’s success and meet the needs of its customers.","Product Development, Project Management, Strategic Planning",Senior,Kiran Rao,4.798458009832721,1120000,Indore,Full-Time,Senior,BTech in IT,2024-04-09,2024-08-08,Large,No,ijaya.mukhopadhyay@wipro.com
HCL Technologies,Web Developer,"As a Web Developer, you will be responsible for creating and maintaining websites and web applications that are functional, user-friendly, and visually appealing. Your role involves working with various technologies and programming languages to build responsive and interactive web solutions that meet user needs and business objectives.

    You will be involved in the entire web development process, including designing and implementing user interfaces, developing backend functionality, and ensuring cross-browser and cross-device compatibility. Your responsibilities will include writing clean, efficient code using technologies such as HTML, CSS, JavaScript, and various frameworks and libraries.

    Additionally, you will collaborate with designers and other developers to translate design concepts into functional web pages, optimize website performance, and troubleshoot and resolve issues. You will also work on integrating web applications with backend services, APIs, and databases to create cohesive and dynamic web experiences.

    Your role will require strong problem-solving skills, creativity, and attention to detail. Familiarity with version control systems (such as Git), content management systems (such as WordPress), and responsive design principles will be important for effectively managing your work and delivering high-quality web solutions.

    By leveraging your skills and expertise, you will play a key role in developing engaging and effective web applications that enhance user experience and contribute to the success of the organization’s online presence.","HTML, Web Design, React, JavaScript, CSS",Senior,Nikhil Kapoor,4.48115065855577,892500,Gurgaon,Full-Time,Senior,BTech in CS,2024-04-04,2024-07-26,Small,Yes,rudra.parmer@hcltechnologies.com
Mahindra & Mahindra,Artificial Intelligence Engineer,"As an Artificial Intelligence Engineer, you will be responsible for developing and deploying AI models and solutions that drive innovation and automation within the organization. Your role involves working with various AI techniques, such as natural language processing (NLP), computer vision, and neural networks, to create intelligent systems that solve complex problems.

    You will collaborate with data scientists, software engineers, and other stakeholders to design and implement AI models that meet business needs. This includes collecting and preprocessing data, selecting appropriate AI algorithms, and fine-tuning models to achieve high performance. Your work will involve applying advanced techniques such as deep learning, reinforcement learning, and generative models to create AI-driven applications.

    Additionally, you will be responsible for integrating AI models into production environments, ensuring that they operate efficiently and effectively. This includes monitoring model performance, addressing issues related to model drift, and continuously improving models based on feedback and new data. You will also work on developing AI-driven tools and applications that enhance business processes, improve customer experiences, and drive innovation.

    Your role will require strong programming skills in languages such as Python or Java, as well as experience with AI frameworks and libraries, such as TensorFlow, Keras, or OpenAI. A deep understanding of AI concepts, including machine learning, deep learning, and neural networks, will be essential for success in this role.

    By leveraging your expertise in artificial intelligence, you will play a key role in driving the organization’s AI strategy and ensuring that AI solutions deliver measurable business value. Your work will contribute to the organization’s ability to stay competitive in a rapidly evolving technological landscape.","Python, AI, Computer Vision",Entry-Level,Geeta Singh,4.18492786394976,1480500,Delhi,Part-Time,Entry-Level,BTech in CS,2024-03-09,2024-08-04,Large,No,rohan.kata@mahindra&mahindra.com
Mahindra & Mahindra,Cybersecurity Analyst,"As a Cybersecurity Analyst, you will be responsible for protecting the organization’s information systems and data from cyber threats and security breaches. Your role involves monitoring network and system activity for signs of suspicious behavior, implementing security measures, and responding to security incidents to mitigate risks.

    You will conduct regular security assessments, including vulnerability scans and penetration tests, to identify and address potential security weaknesses. This includes analyzing security logs, investigating security incidents, and developing strategies to enhance overall security posture. Your responsibilities will also involve staying current with the latest security threats, trends, and best practices to ensure that security measures are up-to-date and effective.

    Additionally, you will work closely with IT teams to implement and manage security tools and technologies, such as firewalls, intrusion detection systems, and encryption solutions. You will also be involved in developing and maintaining security policies and procedures, conducting security awareness training for employees, and ensuring compliance with relevant regulations and standards.

    Your role will require a strong understanding of cybersecurity principles, network security, and threat analysis. Familiarity with security frameworks and tools, as well as relevant certifications (such as CISSP or CEH), will be important for success in this role. Strong analytical skills, attention to detail, and the ability to respond quickly to security incidents will be essential.

    By ensuring the protection of the organization’s information systems, you will play a crucial role in maintaining data confidentiality, integrity, and availability, and safeguarding the organization from potential security threats and breaches.","Network Security, Security Policies, Ethical Hacking",Entry-Level,Aakash Agarwal,3.1147762754847976,1067000,Jaipur,Part-Time,Entry-Level,MBA,2024-03-04,2024-07-01,Medium,Yes,ira.sangha@mahindra&mahindra.com
Mahindra & Mahindra,Artificial Intelligence Engineer,"As an Artificial Intelligence Engineer, you will be responsible for developing and deploying AI models and solutions that drive innovation and automation within the organization. Your role involves working with various AI techniques, such as natural language processing (NLP), computer vision, and neural networks, to create intelligent systems that solve complex problems.

    You will collaborate with data scientists, software engineers, and other stakeholders to design and implement AI models that meet business needs. This includes collecting and preprocessing data, selecting appropriate AI algorithms, and fine-tuning models to achieve high performance. Your work will involve applying advanced techniques such as deep learning, reinforcement learning, and generative models to create AI-driven applications.

    Additionally, you will be responsible for integrating AI models into production environments, ensuring that they operate efficiently and effectively. This includes monitoring model performance, addressing issues related to model drift, and continuously improving models based on feedback and new data. You will also work on developing AI-driven tools and applications that enhance business processes, improve customer experiences, and drive innovation.

    Your role will require strong programming skills in languages such as Python or Java, as well as experience with AI frameworks and libraries, such as TensorFlow, Keras, or OpenAI. A deep understanding of AI concepts, including machine learning, deep learning, and neural networks, will be essential for success in this role.

    By leveraging your expertise in artificial intelligence, you will play a key role in driving the organization’s AI strategy and ensuring that AI solutions deliver measurable business value. Your work will contribute to the organization’s ability to stay competitive in a rapidly evolving technological landscape.","Computer Vision, AI, Neural Networks, Python, NLP",Entry-Level,Siddharth Jain,4.096289443671139,1065000,Chandigarh,Contract,Entry-Level,BTech in CS,2024-07-25,2024-05-25,Medium,No,omaja.palla@mahindra&mahindra.com
Infosys,Machine Learning Engineer,"As a Machine Learning Engineer, you will be responsible for designing, developing, and deploying machine learning models and algorithms that drive data-driven insights and automation. Your role involves working with large datasets to build predictive models, optimize algorithms, and apply advanced machine learning techniques to solve complex problems.

    You will collaborate with data scientists and analysts to understand their requirements and develop machine learning solutions that meet their needs. This includes preprocessing and analyzing data, selecting appropriate machine learning algorithms, and fine-tuning models to achieve optimal performance.

    Additionally, you will be involved in implementing and integrating machine learning models into production systems, ensuring that they operate efficiently and effectively in real-world environments. Your responsibilities will also include monitoring model performance, conducting experiments to improve accuracy, and addressing issues related to model drift or degradation.

    Your role will require strong programming skills in languages such as Python or R, as well as experience with machine learning frameworks and libraries, such as TensorFlow, PyTorch, or scikit-learn. A solid understanding of statistical analysis, feature engineering, and model evaluation techniques will be essential for success in this role.

    By leveraging your expertise in machine learning, you will contribute to the organization’s ability to harness the power of data and drive innovation through advanced analytics and automation. Your work will play a critical role in enabling data-driven decision-making and creating intelligent solutions that deliver business value.","Deep Learning, TensorFlow, Keras, Data Modeling",Entry-Level,Siddharth Jain,4.651530736135987,1107000,Jaipur,Full-Time,Entry-Level,BTech in CS,2024-07-17,2024-02-11,Medium,No,vedhika.dave@infosys.com
Reliance Industries,DevOps Engineer,"As a DevOps Engineer, you will be responsible for bridging the gap between development and operations by automating and optimizing deployment processes and managing infrastructure. Your role involves implementing and maintaining continuous integration and continuous delivery (CI/CD) pipelines, configuring and managing cloud-based infrastructure, and ensuring the reliability and scalability of systems.

    You will work closely with development teams to automate build and deployment processes, streamline software releases, and reduce manual intervention. This includes creating and managing scripts for automated deployments, monitoring system performance, and troubleshooting issues to ensure smooth and efficient operations.

    Additionally, you will be involved in managing infrastructure-as-code (IaC) using tools such as Terraform or Ansible, and ensuring the security and compliance of systems through effective configuration management and monitoring. You will also work on implementing and managing containerization technologies like Docker and Kubernetes to support scalable and resilient applications.

    Your role will require strong problem-solving skills, expertise in scripting languages (such as Bash or Python), and familiarity with cloud platforms (such as AWS, Azure, or Google Cloud). You will also need to stay current with industry trends and best practices in DevOps to continuously improve processes and adopt new technologies.

    Collaboration with development, operations, and IT security teams will be essential to ensure that DevOps practices are integrated effectively into the software development lifecycle. By optimizing deployment processes and managing infrastructure, you will play a crucial role in delivering high-quality software products and ensuring their reliable operation.","CI/CD, Docker, Kubernetes, Scripting, Linux",Mid-Level,Kiran Rao,3.0801163126613234,711000,Delhi,Contract,Mid-Level,MSc in Data Science,2024-06-18,2024-01-17,Large,Yes,tripti.srinivas@relianceindustries.com
Wipro,Business Analyst,"As a Business Analyst, you will act as a liaison between business stakeholders and technical teams, ensuring that business requirements are effectively translated into actionable solutions. Your role will involve gathering and analyzing business needs, creating detailed documentation, and developing strategies to improve processes and drive business growth.

    You will be responsible for conducting in-depth analyses of business operations and identifying opportunities for improvement. This includes gathering requirements through interviews, surveys, and workshops, and creating comprehensive reports and dashboards that provide insights into business performance. You will work closely with stakeholders to understand their needs, develop functional specifications, and ensure that proposed solutions align with business objectives.

    Additionally, you will be involved in evaluating existing systems and processes to identify inefficiencies and recommend enhancements. Your role will require collaboration with development teams to ensure that technical solutions meet business requirements and deliver value. This may involve creating user stories, defining acceptance criteria, and participating in testing and validation processes.

    You will also play a key role in change management, helping to communicate and implement process improvements and new systems within the organization. This includes developing training materials, facilitating workshops, and providing support to end-users as they adapt to new tools and processes.

    Strong analytical skills, attention to detail, and the ability to communicate complex concepts in a clear and concise manner will be essential for success in this role. Proficiency in tools such as Microsoft Excel, Power BI, or Tableau for data analysis and visualization, as well as experience with project management methodologies, will be valuable assets in your role as a Business Analyst.

    By leveraging your expertise, you will contribute to the organization’s success by ensuring that business needs are met through effective solutions and continuous improvement of processes.","Requirements Gathering, SQL, Excel",Entry-Level,Kiran Rao,4.015009758841501,756000,Kolkata,Full-Time,Entry-Level,BTech in IT,2024-02-05,2024-07-05,Large,No,falguni.madan@wipro.com
Infosys,System Analyst,"As a System Analyst, you will be responsible for evaluating and improving IT systems to ensure they meet the needs of the business and enhance operational efficiency. Your role involves working with stakeholders to gather and analyze business requirements, assessing existing systems, and recommending solutions to address identified issues and opportunities.

    You will conduct detailed analyses of business processes, workflows, and system performance to identify areas for improvement. This includes creating functional specifications, developing system diagrams, and documenting requirements to support the development and implementation of new systems or system enhancements.

    Additionally, you will work closely with development teams to ensure that technical solutions align with business requirements and deliver value. This may involve creating user stories, defining acceptance criteria, and participating in testing and validation processes to ensure that solutions meet the needs of end-users.

    Your role will also involve troubleshooting and resolving issues with existing systems, providing support to users, and managing change requests to ensure that system modifications are implemented effectively. Strong analytical skills, attention to detail, and the ability to communicate complex concepts clearly will be essential for success in this role.

    By leveraging your expertise, you will play a key role in driving system improvements and ensuring that IT systems support the organization’s goals and objectives. Your ability to bridge the gap between business needs and technical solutions will be crucial in delivering effective and efficient systems.","Requirements Elicitation, Business Analysis, Testing, Documentation, System Design",Entry-Level,Nikhil Kapoor,4.472951560998224,1196000,Gurgaon,Contract,Entry-Level,BTech in CS,2024-03-11,2024-08-16,Medium,No,tripti.mohan@infosys.com
Wipro,QA Engineer,"As a QA Engineer, you will be responsible for ensuring the quality and reliability of software applications by conducting thorough testing and validation processes. Your role involves developing test plans, executing test cases, and identifying defects to ensure that software products meet specified requirements and standards.

    You will work closely with development teams to understand project requirements and create comprehensive test strategies that cover functional, regression, performance, and security testing. Your responsibilities will include writing and executing manual and automated test cases, reporting defects, and collaborating with developers to resolve issues.

    Additionally, you will be involved in setting up and maintaining test environments, using testing tools and frameworks to automate test processes, and continuously improving testing methodologies. You will also participate in code reviews, provide feedback on design and functionality, and ensure that testing is integrated into the development lifecycle from the early stages.

    Your role will require strong analytical skills, attention to detail, and proficiency in testing tools and frameworks such as Selenium, JUnit, or TestNG. Familiarity with software development methodologies, such as Agile or Scrum, will also be beneficial in effectively collaborating with cross-functional teams.

    By ensuring the quality and stability of software products, you will play a critical role in delivering high-quality solutions that meet user expectations and contribute to the organization’s success.","Manual Testing, Test Automation, Performance Testing, Selenium, Bug Tracking",Senior,Amit Sharma,4.3947749977774055,467500,Ahmedabad,Part-Time,Senior,MBA,2024-08-14,2024-06-10,Large,Yes,rehaan.mody@wipro.com
